vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-10-23T16:11:34.000,2019-10-23T16:21:55.000,1,1.50,1,N,163,143,1,8.5,3.5,0.5,2.55,0,0.3,15.35,2.5
1,2019-10-23T16:32:11.000,2019-10-23T16:58:01.000,1,3.60,1,N,163,144,2,17.5,3.5,0.5,0,0,0.3,21.8,2.5
2,2019-10-23T16:52:43.000,2019-10-23T17:22:03.000,1,1.45,1,N,170,43,2,17.5,1,0.5,0,0,0.3,21.8,2.5
2,2019-10-23T16:13:24.000,2019-10-23T16:35:58.000,1,1.41,1,N,158,186,2,14,1,0.5,0,0,0.3,18.3,2.5
2,2019-10-23T16:37:09.000,2019-10-23T17:08:11.000,1,2.67,1,N,186,237,1,19,1,0.5,4.66,0,0.3,27.96,2.5
2,2019-10-23T16:45:55.000,2019-10-23T16:53:14.000,1,1.13,1,N,43,75,2,6.5,1,0.5,0,0,0.3,10.8,2.5
2,2019-10-23T16:58:23.000,2019-10-23T17:06:50.000,1,1.23,1,N,43,238,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
2,2019-10-23T15:58:13.000,2019-10-23T16:09:02.000,3,0.67,1,N,233,161,1,8,1,0.5,3.08,0,0.3,15.38,2.5
2,2019-10-23T16:10:42.000,2019-10-23T16:24:06.000,3,0.88,1,N,161,170,1,9,1,0.5,3.32,0,0.3,16.62,2.5
2,2019-10-23T16:39:04.000,2019-10-23T16:45:50.000,4,0.95,1,N,162,162,1,6.5,1,0.5,2.16,0,0.3,12.96,2.5
2,2019-10-23T16:49:12.000,2019-10-23T17:05:32.000,1,5.48,1,N,65,107,1,18.5,1,0.5,4.56,0,0.3,27.36,2.5
1,2019-10-23T16:21:24.000,2019-10-23T16:27:12.000,1,0.60,1,N,237,140,1,5.5,3.5,0.5,1.25,0,0.3,11.05,2.5
1,2019-10-23T16:31:20.000,2019-10-23T16:37:38.000,2,1.20,1,N,141,262,2,6.5,3.5,0.5,0,0,0.3,10.8,2.5
1,2019-10-23T16:46:01.000,2019-10-23T17:01:19.000,1,2.10,1,N,140,142,2,11.5,3.5,0.5,0,0,0.3,15.8,2.5
1,2019-10-23T16:12:24.000,2019-10-23T16:28:01.000,1,2.00,1,N,79,229,1,11.5,3.5,0.5,1.2,0,0.3,17,2.5
1,2019-10-23T16:36:49.000,2019-10-23T16:49:49.000,1,0.90,1,N,162,164,1,9,3.5,0.5,2,0,0.3,15.3,2.5
1,2019-10-23T16:54:52.000,2019-10-23T17:08:26.000,1,1.00,1,N,90,48,1,9.5,3.5,0.5,2.75,0,0.3,16.55,2.5
2,2019-10-23T16:12:10.000,2019-10-23T16:19:17.000,2,0.76,1,N,230,186,1,6.5,1,0.5,2.7,0,0.3,13.5,2.5
2,2019-10-23T16:23:05.000,2019-10-23T16:38:07.000,2,1.06,1,N,186,230,2,10.5,1,0.5,0,0,0.3,14.8,2.5
2,2019-10-23T16:38:40.000,2019-10-23T16:54:24.000,2,1.83,1,N,230,249,2,10.5,1,0.5,0,0,0.3,14.8,2.5
2,2019-10-23T16:11:43.000,2019-10-23T16:23:11.000,3,0.77,1,N,234,170,1,8.5,1,0.5,2.56,0,0.3,15.36,2.5
2,2019-10-23T16:24:23.000,2019-10-23T16:32:35.000,2,0.85,1,N,170,229,1,6.5,1,0.5,1.62,0,0.3,12.42,2.5
2,2019-10-23T16:34:11.000,2019-10-23T16:40:05.000,2,0.70,1,N,233,161,2,5.5,1,0.5,0,0,0.3,9.8,2.5
2,2019-10-23T16:41:30.000,2019-10-23T16:51:05.000,2,1.42,1,N,161,233,1,8,1,0.5,2.46,0,0.3,14.76,2.5
1,2019-10-23T16:09:10.000,2019-10-23T17:17:25.000,1,17.10,2,N,132,163,1,52,7,0.5,11.95,0,0.3,71.75,2.5
2,2019-10-23T16:19:36.000,2019-10-23T16:42:46.000,1,2.77,1,N,239,164,1,16,1,0.5,5.08,0,0.3,25.38,2.5
2,2019-10-23T16:52:13.000,2019-10-23T17:27:50.000,1,4.05,1,N,234,239,1,22,1,0.5,5.26,0,0.3,31.56,2.5
2,2019-10-23T16:37:36.000,2019-10-23T17:40:10.000,2,18.45,2,N,132,75,2,52,4.5,0.5,0,6.12,0.3,63.42,0
2,2019-10-23T16:33:50.000,2019-10-23T17:31:50.000,1,8.72,1,N,138,48,1,41,1,0.5,8,6.12,0.3,59.42,2.5
2,2019-10-23T16:04:16.000,2019-10-23T16:29:02.000,1,1.54,1,N,186,162,1,15,1,0.5,3.86,0,0.3,23.16,2.5
2,2019-10-23T16:41:19.000,2019-10-23T17:01:31.000,1,2.16,1,N,162,249,2,13.5,1,0.5,0,0,0.3,17.8,2.5
1,2019-10-23T16:19:32.000,2019-10-23T16:26:45.000,1,0.80,1,N,239,239,2,6.5,3.5,0.5,0,0,0.3,10.8,2.5
2,2019-10-23T16:08:06.000,2019-10-23T17:14:42.000,1,18.10,2,N,132,161,1,52,4.5,0.5,13.11,5.76,0.3,78.67,2.5
1,2019-10-23T16:11:48.000,2019-10-23T16:36:04.000,0,1.30,1,N,233,186,1,15,3.5,0.5,3.85,0,0.3,23.15,2.5
1,2019-10-23T16:38:07.000,2019-10-23T16:55:59.000,0,1.60,1,N,186,230,1,12,3.5,0.5,3.25,0,0.3,19.55,2.5
2,2019-10-23T16:16:28.000,2019-10-23T17:16:35.000,1,17.74,2,N,132,164,1,52,4.5,0.5,13.18,6.12,0.3,79.1,2.5
1,2019-10-23T16:55:16.000,2019-10-23T17:50:13.000,1,9.60,1,N,138,25,1,38.5,1,0.5,8.05,0,0.3,48.35,0
2,2019-10-23T16:54:19.000,2019-10-23T17:01:11.000,2,0.66,1,N,262,237,1,6,1,0.5,2.58,0,0.3,12.88,2.5
2,2019-10-23T16:17:55.000,2019-10-23T17:05:32.000,1,7.18,1,N,186,152,1,32.5,1,0.5,0,0,0.3,36.8,2.5
2,2019-10-23T16:10:57.000,2019-10-23T17:32:58.000,5,17.50,2,N,148,132,1,52,4.5,0.5,11.96,0,0.3,71.76,2.5
1,2019-10-23T16:29:00.000,2019-10-23T16:33:52.000,1,0.60,1,N,161,170,2,5,3.5,0.5,0,0,0.3,9.3,2.5
1,2019-10-23T16:37:11.000,2019-10-23T16:50:17.000,1,1.80,1,N,234,125,1,10,3.5,0.5,3.58,0,0.3,17.88,2.5
2,2019-10-23T16:09:04.000,2019-10-23T16:47:50.000,1,6.26,1,N,144,238,1,26.5,1,0.5,0.4,0,0.3,31.2,2.5
2,2019-10-23T16:07:22.000,2019-10-23T16:22:55.000,1,1.81,1,N,43,238,1,11.5,1,0.5,3.16,0,0.3,18.96,2.5
2,2019-10-23T16:27:03.000,2019-10-23T16:40:08.000,1,1.68,1,N,143,238,1,10,1,0.5,2.86,0,0.3,17.16,2.5
2,2019-10-23T16:34:20.000,2019-10-23T16:46:34.000,1,1.24,1,N,230,186,1,9,1,0.5,3.99,0,0.3,17.29,2.5
2,2019-10-23T16:48:33.000,2019-10-23T17:04:44.000,1,2.19,1,N,186,90,1,11.5,1,0.5,3.16,0,0.3,18.96,2.5
2,2019-10-23T16:36:18.000,2019-10-23T16:42:11.000,1,0.94,1,N,14,14,1,6,1,0.5,1.17,0,0.3,10.92,0
2,2019-10-23T16:07:25.000,2019-10-23T16:59:42.000,1,7.81,1,N,162,70,1,35.5,1,0.5,7.96,0,0.3,47.76,2.5
1,2019-10-23T16:02:55.000,2019-10-23T16:14:41.000,2,1.90,1,N,239,230,1,9.5,3.5,0.5,2.75,0,0.3,16.55,2.5
1,2019-10-23T16:17:05.000,2019-10-23T17:13:04.000,3,18.00,3,N,230,1,1,72.5,1,0,18.75,20,0.3,112.55,0
2,2019-10-23T16:47:10.000,2019-10-23T16:58:13.000,1,1.26,1,N,230,170,1,8.5,1,0.5,3.2,0,0.3,16,2.5
2,2019-10-23T16:41:36.000,2019-10-23T17:28:17.000,1,9.88,1,N,231,74,2,35,1,0.5,0,0,0.3,39.3,2.5
1,2019-10-23T16:08:47.000,2019-10-23T16:22:42.000,1,1.20,1,N,246,230,2,9.5,3.5,0.5,0,0,0.3,13.8,2.5
1,2019-10-23T16:24:04.000,2019-10-23T16:26:39.000,1,0.40,1,N,230,230,2,4,3.5,0.5,0,0,0.3,8.3,2.5
1,2019-10-23T16:28:11.000,2019-10-23T16:36:44.000,1,1.10,1,N,230,142,1,7.5,3.5,0.5,2.35,0,0.3,14.15,2.5
2,2019-10-23T16:21:34.000,2019-10-23T16:34:27.000,1,1.59,1,N,186,113,2,9.5,1,0.5,0,0,0.3,13.8,2.5
2,2019-10-23T16:38:09.000,2019-10-23T16:55:14.000,1,1.95,1,N,107,233,1,12,1,0.5,3.26,0,0.3,19.56,2.5
2,2019-10-23T16:56:34.000,2019-10-23T17:11:58.000,1,2.75,1,N,233,148,2,12.5,1,0.5,0,0,0.3,16.8,2.5
2,2019-10-23T16:56:42.000,2019-10-23T17:29:35.000,1,3.32,1,N,234,142,1,21,1,0.5,2,0,0.3,27.3,2.5
2,2019-10-23T16:07:02.000,2019-10-23T17:22:45.000,1,19.51,2,N,132,246,1,52,4.5,0.5,13.18,6.12,0.3,79.1,2.5
1,2019-10-23T16:37:22.000,2019-10-23T17:09:37.000,1,5.00,1,N,143,74,1,22.5,3.5,0.5,2,0,0.3,28.8,2.5
1,2019-10-23T16:23:56.000,2019-10-23T17:07:04.000,1,7.50,1,N,138,237,1,33.5,3.5,0.5,5,6.12,0.3,48.92,2.5
2,2019-10-23T16:15:06.000,2019-10-23T16:29:39.000,3,1.47,1,N,163,233,1,10,1,0.5,0,0,0.3,14.3,2.5
2,2019-10-23T16:34:24.000,2019-10-23T16:54:14.000,3,1.98,1,N,229,186,1,13,1,0.5,4.32,0,0.3,21.62,2.5
2,2019-10-23T16:56:03.000,2019-10-23T17:19:03.000,3,2.42,1,N,186,144,1,15,1,0.5,3.86,0,0.3,23.16,2.5
1,2019-10-23T16:13:16.000,2019-10-23T16:21:34.000,1,0.80,1,N,234,107,2,7,3.5,0.5,0,0,0.3,11.3,2.5
1,2019-10-23T16:25:47.000,2019-10-23T16:27:21.000,1,0.20,1,N,137,137,1,3,3.5,0.5,1,0,0.3,8.3,2.5
2,2019-10-23T16:39:52.000,2019-10-23T16:58:55.000,2,2.23,1,N,48,141,2,13.5,1,0.5,0,0,0.3,17.8,2.5
2,2019-10-23T16:11:32.000,2019-10-23T17:04:02.000,1,14.08,2,N,10,163,1,52,4.5,0.5,12,0,0.3,71.8,2.5
1,2019-10-23T16:14:09.000,2019-10-23T16:27:14.000,3,1.30,1,N,238,262,1,9.5,3.5,0.5,1,0,0.3,14.8,2.5
1,2019-10-23T16:40:53.000,2019-10-23T16:58:13.000,1,1.60,1,N,262,237,1,11.5,3.5,0.5,1.2,0,0.3,17,2.5
1,2019-10-23T16:55:01.000,2019-10-23T17:18:17.000,1,7.80,1,N,132,135,2,24.5,1,0.5,0,0,0.3,26.3,0
2,2019-10-23T16:04:52.000,2019-10-23T16:07:48.000,3,0.68,1,N,161,163,1,4.5,1,0.5,2.2,0,0.3,11,2.5
1,2019-10-23T16:15:28.000,2019-10-23T16:32:27.000,2,1.00,1,N,68,186,2,11.5,3.5,0.5,0,0,0.3,15.8,2.5
1,2019-10-23T16:34:34.000,2019-10-23T16:56:47.000,1,2.60,1,N,186,237,1,15.5,3.5,0.5,3.95,0,0.3,23.75,2.5
2,2019-10-23T16:22:37.000,2019-10-23T16:24:22.000,2,0.32,1,N,43,43,2,3.5,1,0.5,0,0,0.3,7.8,2.5
2,2019-10-23T16:25:57.000,2019-10-23T16:44:54.000,2,2.44,1,N,239,230,2,13.5,1,0.5,0,0,0.3,17.8,2.5
2,2019-10-23T16:49:37.000,2019-10-23T16:55:08.000,2,0.75,1,N,48,68,1,5.5,1,0.5,2.45,0,0.3,12.25,2.5
2,2019-10-23T16:56:20.000,2019-10-23T17:02:33.000,2,1.17,1,N,68,234,1,6.5,1,0.5,3.24,0,0.3,14.04,2.5
2,2019-10-23T16:22:34.000,2019-10-23T16:25:16.000,1,0.69,1,N,236,75,1,4.5,1,0.5,1.76,0,0.3,10.56,2.5
1,2019-10-23T16:09:50.000,2019-10-23T16:24:58.000,1,2.20,1,N,100,114,2,11.5,3.5,0.5,0,0,0.3,15.8,2.5
1,2019-10-23T16:29:48.000,2019-10-23T16:41:14.000,2,1.70,1,N,114,186,1,9.5,3.5,0.5,2.75,0,0.3,16.55,2.5
1,2019-10-23T16:04:09.000,2019-10-23T16:10:52.000,1,1.50,1,N,239,24,2,7,3.5,0.5,0,0,0.3,11.3,2.5
1,2019-10-23T16:58:27.000,2019-10-23T17:15:33.000,1,4.50,1,N,166,243,2,16.5,1,0.5,0,0,0.3,18.3,0
2,2019-10-23T16:13:35.000,2019-10-23T16:24:51.000,1,1.49,1,N,234,79,1,8.5,1,0.5,3.2,0,0.3,16,2.5
2,2019-10-23T16:50:50.000,2019-10-23T16:54:23.000,1,0.59,1,N,234,113,1,4.5,1,0.5,2.2,0,0.3,11,2.5
1,2019-10-23T16:15:37.000,2019-10-23T16:28:02.000,1,0.90,1,N,100,230,2,9,3.5,0.5,0,0,0.3,13.3,2.5
1,2019-10-23T16:29:52.000,2019-10-23T16:43:30.000,3,0.80,1,N,161,100,2,9,3.5,0.5,0,0,0.3,13.3,2.5
1,2019-10-23T16:46:28.000,2019-10-23T16:53:16.000,1,0.80,1,N,100,186,1,6,3.5,0.5,2.55,0,0.3,12.85,2.5
2,2019-10-23T16:02:22.000,2019-10-23T16:30:39.000,1,3.31,1,N,50,125,1,19,1,0.5,5.83,0,0.3,29.13,2.5
2,2019-10-23T16:31:48.000,2019-10-23T16:35:12.000,1,0.39,1,N,125,114,2,4,1,0.5,0,0,0.3,8.3,2.5
1,2019-10-23T16:07:44.000,2019-10-23T16:21:15.000,1,1.80,1,N,161,113,2,10,3.5,0.5,0,0,0.3,14.3,2.5
1,2019-10-23T16:22:19.000,2019-10-23T16:50:10.000,1,2.20,1,N,113,48,2,17,3.5,0.5,0,0,0.3,21.3,2.5
2,2019-10-23T16:12:35.000,2019-10-23T17:13:27.000,1,17.26,2,N,132,230,1,52,4.5,0.5,0.05,6.12,0.3,65.97,2.5
1,2019-10-23T16:44:04.000,2019-10-23T17:09:03.000,1,1.90,1,N,140,163,1,15.5,3.5,0.5,3.95,0,0.3,23.75,2.5
2,2019-10-23T16:32:42.000,2019-10-23T16:56:05.000,2,1.78,1,N,141,161,1,14.5,1,0.5,2.08,0,0.3,20.88,2.5
2,2019-10-23T16:07:20.000,2019-10-23T16:37:19.000,2,3.98,1,N,232,246,1,21,1,0.5,5.06,0,0.3,30.36,2.5
2,2019-10-23T16:51:11.000,2019-10-23T17:19:11.000,2,2.09,1,N,68,170,2,17.5,1,0.5,0,0,0.3,21.8,2.5
2,2019-10-23T16:57:57.000,2019-10-23T17:45:51.000,6,16.57,2,N,132,170,1,52,4.5,0.5,16.48,6.12,0.3,82.4,2.5
2,2019-10-23T16:02:46.000,2019-10-23T16:27:11.000,1,2.59,1,N,239,162,1,16,1,0.5,1,0,0.3,21.3,2.5
2,2019-10-23T16:29:24.000,2019-10-23T16:39:20.000,1,1.42,1,N,161,141,1,8,1,0.5,3.08,0,0.3,15.38,2.5
2,2019-10-23T16:40:13.000,2019-10-23T16:44:49.000,1,0.93,1,N,237,236,1,5,1,0.5,1.86,0,0.3,11.16,2.5
2,2019-10-23T16:52:16.000,2019-10-23T16:54:13.000,1,0.29,1,N,263,262,1,3.5,1,0.5,2.34,0,0.3,10.14,2.5
2,2019-10-23T16:20:13.000,2019-10-23T16:46:03.000,1,2.81,1,N,90,13,1,17,1,0.5,3.2,0,0.3,24.5,2.5
1,2019-10-23T16:10:05.000,2019-10-23T16:15:59.000,1,0.90,1,N,234,113,2,6,3.5,0.5,0,0,0.3,10.3,2.5
1,2019-10-23T16:24:36.000,2019-10-23T16:53:33.000,1,2.60,1,N,107,237,1,18,3.5,0.5,4.45,0,0.3,26.75,2.5
1,2019-10-23T16:56:02.000,2019-10-23T16:59:34.000,1,0.80,1,N,237,236,1,5,3.5,0.5,1.4,0,0.3,10.7,2.5
2,2019-10-23T15:55:43.000,2019-10-23T16:03:42.000,1,1.22,1,N,162,107,1,7,1,0.5,2.26,0,0.3,13.56,2.5
2,2019-10-23T16:09:19.000,2019-10-23T16:19:02.000,1,1.10,1,N,234,224,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
2,2019-10-23T16:12:30.000,2019-10-23T16:44:19.000,6,4.04,1,N,162,151,1,21,1,0.5,4,0,0.3,29.3,2.5
2,2019-10-23T16:53:14.000,2019-10-23T17:01:17.000,6,1.08,1,N,239,43,1,7,1,0.5,2.26,0,0.3,13.56,2.5
1,2019-10-23T16:47:14.000,2019-10-23T17:01:08.000,0,2.10,1,N,68,239,1,10.5,3.5,0.5,2.95,0,0.3,17.75,2.5
2,2019-10-23T15:56:01.000,2019-10-23T16:04:18.000,1,1.27,1,N,161,43,1,7.5,1,0.5,2,0,0.3,13.8,2.5
1,2019-10-23T16:11:03.000,2019-10-23T16:20:07.000,1,1.40,1,N,229,237,2,8,3.5,0.5,0,0,0.3,12.3,2.5
1,2019-10-23T16:28:32.000,2019-10-23T16:43:26.000,0,2.30,1,N,163,238,1,11.5,3.5,0.5,1.5,0,0.3,17.3,2.5
1,2019-10-23T16:13:58.000,2019-10-23T16:21:35.000,2,0.70,1,N,236,237,2,6.5,3.5,0.5,0,0,0.3,10.8,2.5
2,2019-10-23T16:05:22.000,2019-10-23T16:14:55.000,6,1.82,1,N,142,238,2,8.5,1,0.5,0,0,0.3,12.8,2.5
2,2019-10-23T16:18:27.000,2019-10-23T16:26:40.000,6,1.85,1,N,238,41,2,8,1,0.5,0,0,0.3,12.3,2.5
2,2019-10-23T16:39:46.000,2019-10-23T16:43:20.000,6,0.73,1,N,151,151,1,4.5,1,0.5,1.26,0,0.3,7.56,0
2,2019-10-23T16:45:41.000,2019-10-23T16:51:36.000,6,1.01,1,N,151,239,2,6.5,1,0.5,0,0,0.3,10.8,2.5
2,2019-10-23T16:19:48.000,2019-10-23T16:52:33.000,1,9.00,1,N,132,102,2,30.5,1,0.5,0,0,0.3,32.3,0
1,2019-10-23T16:00:37.000,2019-10-23T16:24:49.000,1,3.10,1,N,170,239,1,16.5,3.5,0.5,4.15,0,0.3,24.95,2.5
2,2019-10-23T16:00:43.000,2019-10-23T16:12:49.000,2,1.56,1,N,238,43,1,9.5,1,0.5,1.8,0,0.3,15.6,2.5
2,2019-10-23T16:20:28.000,2019-10-23T16:27:22.000,2,1.38,1,N,143,238,1,7,1,0.5,1,0,0.3,12.3,2.5
2,2019-10-23T16:29:16.000,2019-10-23T16:37:50.000,2,1.33,1,N,238,142,1,8,1,0.5,2.46,0,0.3,14.76,2.5
2,2019-10-23T16:41:53.000,2019-10-23T16:47:15.000,2,1.50,1,N,142,238,1,6.5,1,0.5,2.16,0,0.3,12.96,2.5
2,2019-10-23T16:54:47.000,2019-10-23T17:01:46.000,2,0.97,1,N,239,142,2,7,1,0.5,0,0,0.3,11.3,2.5
2,2019-10-23T16:47:04.000,2019-10-23T16:59:16.000,6,1.65,1,N,163,236,1,9.5,1,0.5,2,0,0.3,15.8,2.5
2,2019-10-23T16:10:44.000,2019-10-23T17:26:40.000,1,10.33,1,N,163,138,1,49.5,1,0.5,25,0,0.3,78.8,2.5
2,2019-10-23T16:36:02.000,2019-10-23T16:50:06.000,2,3.00,1,N,263,166,1,12.5,1,0.5,5.04,0,0.3,21.84,2.5
2,2019-10-23T16:52:44.000,2019-10-23T16:56:07.000,2,0.63,1,N,166,152,1,4.5,1,0.5,1.26,0,0.3,7.56,0
2,2019-10-23T16:16:25.000,2019-10-23T16:25:04.000,1,1.34,1,N,100,68,1,7.5,1,0.5,3.54,0,0.3,15.34,2.5
2,2019-10-23T16:32:30.000,2019-10-23T16:40:39.000,1,0.78,1,N,68,249,2,6.5,1,0.5,0,0,0.3,10.8,2.5
2,2019-10-23T16:49:19.000,2019-10-23T17:03:53.000,1,1.63,1,N,234,68,1,10.5,1,0.5,2.96,0,0.3,17.76,2.5
2,2019-10-23T16:19:26.000,2019-10-23T16:40:39.000,2,1.30,1,N,90,230,1,13,1,0.5,3.46,0,0.3,20.76,2.5
2,2019-10-23T16:45:31.000,2019-10-23T17:13:55.000,1,2.91,1,N,230,140,2,18,1,0.5,0,0,0.3,22.3,2.5
2,2019-10-23T16:08:18.000,2019-10-23T16:21:19.000,5,1.04,1,N,161,142,1,8.5,1,0.5,2.56,0,0.3,15.36,2.5
2,2019-10-23T16:31:43.000,2019-10-23T16:36:23.000,1,0.76,1,N,211,158,1,5,1,0.5,1.86,0,0.3,11.16,2.5
2,2019-10-23T16:44:19.000,2019-10-23T16:59:54.000,1,1.43,1,N,68,48,1,11,1,0.5,3.06,0,0.3,18.36,2.5
1,2019-10-23T16:21:35.000,2019-10-23T16:30:43.000,3,0.70,1,N,236,237,2,7,3.5,0.5,0,0,0.3,11.3,2.5
1,2019-10-23T16:51:41.000,2019-10-23T16:56:15.000,2,0.70,1,N,263,236,1,5,3.5,0.5,1.4,0,0.3,10.7,2.5
2,2019-10-23T16:13:09.000,2019-10-23T16:28:17.000,1,2.63,1,N,230,236,1,12,1,0.5,4.08,0,0.3,20.38,2.5
2,2019-10-23T16:48:04.000,2019-10-23T17:00:33.000,1,2.11,1,N,237,75,1,10.5,1,0.5,2.96,0,0.3,17.76,2.5
2,2019-10-23T16:45:42.000,2019-10-23T16:48:02.000,1,0.84,1,N,262,75,2,4.5,1,0.5,0,0,0.3,8.8,2.5
2,2019-10-23T16:22:21.000,2019-10-23T16:31:59.000,3,1.03,1,N,140,236,1,7.5,1,0.5,2.95,0,0.3,14.75,2.5
2,2019-10-23T16:34:30.000,2019-10-23T16:40:10.000,2,0.79,1,N,236,236,1,6,1,0.5,1,0,0.3,11.3,2.5
2,2019-10-23T16:47:34.000,2019-10-23T16:56:20.000,2,0.99,1,N,236,237,1,7,1,0.5,1,0,0.3,12.3,2.5
2,2019-10-23T16:57:28.000,2019-10-23T17:20:30.000,3,1.60,1,N,43,234,1,14.5,1,0.5,1,0,0.3,19.8,2.5
2,2019-10-23T16:05:50.000,2019-10-23T16:14:34.000,6,1.27,1,N,232,79,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
2,2019-10-23T16:54:03.000,2019-10-23T17:12:09.000,6,1.64,1,N,233,237,1,12.5,1,0.5,3.36,0,0.3,20.16,2.5
2,2019-10-23T16:06:16.000,2019-10-23T16:22:14.000,1,2.11,1,N,163,262,1,11.5,1,0.5,3.16,0,0.3,18.96,2.5
2,2019-10-23T16:35:31.000,2019-10-23T16:41:27.000,1,1.24,1,N,263,74,1,6,1,0.5,1,0,0.3,8.8,0
1,2019-10-23T16:24:56.000,2019-10-23T16:36:59.000,1,0.60,1,N,170,164,2,8.5,3.5,0.5,0,0,0.3,12.8,2.5
1,2019-10-23T16:48:08.000,2019-10-23T16:54:27.000,2,0.70,1,N,164,161,1,6,3.5,0.5,2.05,0,0.3,12.35,2.5
1,2019-10-23T16:03:21.000,2019-10-23T16:11:51.000,1,0.80,1,N,236,237,1,7,3.5,0.5,1,0,0.3,12.3,2.5
1,2019-10-23T16:16:08.000,2019-10-23T16:21:58.000,1,0.50,1,N,237,162,1,5.5,3.5,0.5,2.2,0,0.3,12,2.5
1,2019-10-23T16:23:39.000,2019-10-23T16:33:53.000,1,1.10,1,N,162,170,1,8,3.5,0.5,2.45,0,0.3,14.75,2.5
1,2019-10-23T16:36:37.000,2019-10-23T16:53:45.000,1,1.90,1,N,164,249,1,12,3.5,0.5,3.25,0,0.3,19.55,2.5
2,2019-10-23T16:42:57.000,2019-10-23T16:56:04.000,2,1.08,1,N,237,43,1,9,1,0.5,1.33,0,0.3,14.63,2.5
2,2019-10-23T16:20:51.000,2019-10-23T16:30:44.000,2,0.36,1,N,164,170,2,7,1,0.5,0,0,0.3,11.3,2.5
2,2019-10-23T16:32:12.000,2019-10-23T17:13:10.000,1,4.46,1,N,170,238,1,26,1,0.5,6.06,0,0.3,36.36,2.5
1,2019-10-23T16:23:49.000,2019-10-23T16:34:46.000,1,1.80,1,N,24,143,1,9.5,3.5,0.5,4.1,0,0.3,17.9,2.5
1,2019-10-23T16:42:06.000,2019-10-23T16:47:05.000,1,1.10,1,N,143,239,1,6,3.5,0.5,1.5,0,0.3,11.8,2.5
1,2019-10-23T16:49:21.000,2019-10-23T16:56:57.000,1,1.60,1,N,239,230,1,7.5,3.5,0.5,3.5,0,0.3,15.3,2.5
2,2019-10-23T15:59:31.000,2019-10-23T16:11:17.000,1,0.90,1,N,140,141,1,8.5,1,0.5,2.56,0,0.3,15.36,2.5
2,2019-10-23T16:14:20.000,2019-10-23T16:25:04.000,1,1.66,1,N,237,236,1,9,1,0.5,2.66,0,0.3,15.96,2.5
2,2019-10-23T16:40:07.000,2019-10-23T16:53:01.000,1,1.75,1,N,237,262,2,10,1,0.5,0,0,0.3,14.3,2.5
2,2019-10-23T16:43:36.000,2019-10-23T17:30:39.000,1,9.74,1,N,107,138,1,34.5,1,0.5,5,6.12,0.3,49.92,2.5
2,2019-10-23T16:15:47.000,2019-10-23T16:46:23.000,3,2.28,1,N,107,230,2,18,1,0.5,0,0,0.3,22.3,2.5
2,2019-10-23T16:47:55.000,2019-10-23T17:01:38.000,1,0.93,1,N,230,162,2,9.5,1,0.5,0,0,0.3,13.8,2.5
1,2019-10-23T16:01:24.000,2019-10-23T16:12:28.000,1,2.30,1,N,48,238,2,10,3.5,0.5,0,0,0.3,14.3,2.5
1,2019-10-23T16:33:44.000,2019-10-23T16:38:43.000,1,0.60,1,N,142,161,1,5,3.5,0.5,1.85,0,0.3,11.15,2.5
1,2019-10-23T16:47:43.000,2019-10-23T17:11:48.000,4,3.30,1,Y,161,75,2,17,3.5,0.5,0,0,0.3,21.3,2.5
1,2019-10-23T16:04:40.000,2019-10-23T16:30:19.000,1,5.50,1,N,231,162,2,22.5,3.5,0.5,0,0,0.3,26.8,2.5
1,2019-10-23T16:33:11.000,2019-10-23T16:47:33.000,1,1.00,1,N,161,230,2,9.5,3.5,0.5,0,0,0.3,13.8,2.5
1,2019-10-23T16:55:34.000,2019-10-23T17:06:25.000,3,1.10,1,N,100,161,1,8,3.5,0.5,1.5,0,0.3,13.8,2.5
2,2019-10-23T16:57:48.000,2019-10-23T18:26:52.000,1,20.88,2,N,132,161,2,52,4.5,0.5,0,6.12,0.3,65.92,2.5
1,2019-10-23T16:37:53.000,2019-10-23T16:45:27.000,1,0.80,1,N,237,237,1,6.5,3.5,0.5,2.7,0,0.3,13.5,2.5
2,2019-10-23T16:10:25.000,2019-10-23T16:35:20.000,6,3.97,1,N,161,232,2,18,1,0.5,0,0,0.3,22.3,2.5
2,2019-10-23T16:43:40.000,2019-10-23T16:52:10.000,1,1.42,1,N,148,224,2,8,1,0.5,0,0,0.3,12.3,2.5
2,2019-10-23T16:59:26.000,2019-10-23T17:19:21.000,6,1.32,1,N,107,186,2,13,1,0.5,0,0,0.3,17.3,2.5
1,2019-10-23T16:13:29.000,2019-10-23T16:21:16.000,1,0.60,1,N,229,237,2,6.5,3.5,0.5,0,0,0.3,10.8,2.5
1,2019-10-23T16:25:19.000,2019-10-23T16:34:39.000,1,2.00,1,N,264,236,1,8.5,3.5,0.5,2.55,0,0.3,15.35,2.5
1,2019-10-23T16:57:00.000,2019-10-23T17:05:40.000,1,1.40,1,N,236,239,1,8,3.5,0.5,1,0,0.3,13.3,2.5
